fill	x	y	clickSelects	showSelected2	showSelected3
#F6F4BF	0.00786472670074715	1	McGill0005	42	false.positive
#F6F4BF	0.833661030279198	1	McGill0006	42	false.positive
#F6F4BF	0.0943767204089658	1	McGill0007	42	false.positive
#F6F4BF	0.00786472670074715	1	McGill0008	42	false.positive
#F6F4BF	0.188753440817932	1	McGill0009	42	false.positive
#F6F4BF	0.05505308690523	1	McGill0010	42	false.positive
#F6F4BF	0.0786472670074715	1	McGill0011	42	false.positive
#F6F4BF	0.0393236335037357	2	McGill0004	42	false.positive
#F6F4BF	0.38537160833661	2	McGill0006	42	false.positive
#F6F4BF	0.11010617381046	2	McGill0007	42	false.positive
#F6F4BF	0.149429807314196	2	McGill0008	42	false.positive
#F6F4BF	0.133700353912702	2	McGill0009	42	false.positive
#F6F4BF	0.235941801022415	2	McGill0010	42	false.positive
#F6F4BF	2.68973653165553	2	McGill0011	42	false.positive
#F6F4BF	0.141565080613449	3	McGill0004	42	false.positive
#F6F4BF	4.09752261108926	3	McGill0005	42	false.positive
#F6F4BF	1.73023987416437	3	McGill0006	42	false.positive
#F6F4BF	0.353912701533622	3	McGill0007	42	false.positive
#F6F4BF	0.361777428234369	3	McGill0008	42	false.positive
#F6F4BF	0.0865119937082186	3	McGill0009	42	false.positive
#F6F4BF	0.267400707825403	3	McGill0010	42	false.positive
#F6F4BF	0.117970900511207	3	McGill0011	42	false.positive
#F6F4BF	5.20644907589461	4	McGill0004	42	false.positive
#F6F4BF	0.0943767204089658	4	McGill0005	42	false.positive
#F6F4BF	17.9866299646087	4	McGill0006	42	false.positive
#F6F4BF	4.49075894612662	4	McGill0007	42	false.positive
#F6F4BF	0.448289421942588	4	McGill0008	42	false.positive
#F6F4BF	2.50098309083759	4	McGill0009	42	false.positive
#F6F4BF	9.23318914667715	4	McGill0010	42	false.positive
#F6F4BF	2.72906016515926	4	McGill0011	42	false.positive
#F6F4BF	3.68069209594967	5	McGill0004	42	false.positive
#F6F4BF	0.0707825403067244	5	McGill0005	42	false.positive
#F6F4BF	11.6712544239088	5	McGill0006	42	false.positive
#F6F4BF	0.865119937082186	5	McGill0007	42	false.positive
#F6F4BF	0.0786472670074715	5	McGill0008	42	false.positive
#F6F4BF	0.204482894219426	5	McGill0009	42	false.positive
#F6F4BF	0.802202123476209	5	McGill0010	42	false.positive
#F6F4BF	0.27526543452615	5	McGill0011	42	false.positive
#F6F4BF	0.0393236335037357	1	McGill0004	46	false.positive
#F6F4BF	0.613448682658278	1	McGill0006	46	false.positive
#F6F4BF	0.0157294534014943	1	McGill0007	46	false.positive
#F6F4BF	0.00786472670074715	1	McGill0008	46	false.positive
#F6F4BF	0.22021234762092	1	McGill0009	46	false.positive
#F6F4BF	0.0157294534014943	1	McGill0010	46	false.positive
#F6F4BF	0.05505308690523	1	McGill0011	46	false.positive
#F6F4BF	0.0235941801022415	2	McGill0004	46	false.positive
#F6F4BF	0.133700353912702	2	McGill0006	46	false.positive
#F6F4BF	0.0393236335037357	2	McGill0007	46	false.positive
#F6F4BF	0.0943767204089658	2	McGill0008	46	false.positive
#F6F4BF	0.0786472670074715	2	McGill0009	46	false.positive
#F6F4BF	0.11010617381046	2	McGill0010	46	false.positive
#F6F4BF	2.43020055053087	2	McGill0011	46	false.positive
#F6F4BF	0.0865119937082186	3	McGill0004	46	false.positive
#F6F4BF	3.96382225717656	3	McGill0005	46	false.positive
#F6F4BF	1.39205662603225	3	McGill0006	46	false.positive
#F6F4BF	0.0943767204089658	3	McGill0007	46	false.positive
#F6F4BF	0.251671254423909	3	McGill0008	46	false.positive
#F6F4BF	0.0235941801022415	3	McGill0009	46	false.positive
#F6F4BF	0.11010617381046	3	McGill0010	46	false.positive
#F6F4BF	0.0943767204089658	3	McGill0011	46	false.positive
#F6F4BF	5.02556036177743	4	McGill0004	46	false.positive
#F6F4BF	0.0157294534014943	4	McGill0005	46	false.positive
#F6F4BF	15.0452221785293	4	McGill0006	46	false.positive
#F6F4BF	2.72906016515926	4	McGill0007	46	false.positive
#F6F4BF	0.133700353912702	4	McGill0008	46	false.positive
#F6F4BF	1.41565080613449	4	McGill0009	46	false.positive
#F6F4BF	6.06370428627605	4	McGill0010	46	false.positive
#F6F4BF	1.58081006685018	4	McGill0011	46	false.positive
#F6F4BF	3.02791977978765	5	McGill0004	46	false.positive
#F6F4BF	0.0393236335037357	5	McGill0005	46	false.positive
#F6F4BF	8.32874557609123	5	McGill0006	46	false.positive
#F6F4BF	0.755013763271726	5	McGill0007	46	false.positive
#F6F4BF	0.05505308690523	5	McGill0008	46	false.positive
#F6F4BF	0.212347620920173	5	McGill0009	46	false.positive
#F6F4BF	0.668501769563508	5	McGill0010	46	false.positive
#F6F4BF	0.180888714117184	5	McGill0011	46	false.positive
#F6F4BF	0.0235941801022415	1	McGill0004	50	false.positive
#F6F4BF	0.369642154935116	1	McGill0006	50	false.positive
#F6F4BF	0.0157294534014943	1	McGill0007	50	false.positive
#F6F4BF	0.00786472670074715	1	McGill0008	50	false.positive
#F6F4BF	0.243806527723162	1	McGill0009	50	false.positive
#F6F4BF	0.00786472670074715	1	McGill0010	50	false.positive
#F6F4BF	0.0157294534014943	1	McGill0011	50	false.positive
#F6F4BF	0.0393236335037357	2	McGill0006	50	false.positive
#F6F4BF	0.0314589068029886	2	McGill0007	50	false.positive
#F6F4BF	0.0707825403067244	2	McGill0008	50	false.positive
#F6F4BF	0.05505308690523	2	McGill0009	50	false.positive
#F6F4BF	0.0707825403067244	2	McGill0010	50	false.positive
#F6F4BF	2.02123476209202	2	McGill0011	50	false.positive
#F6F4BF	0.0393236335037357	3	McGill0004	50	false.positive
#F6F4BF	3.82225717656311	3	McGill0005	50	false.positive
#F6F4BF	1.21116791191506	3	McGill0006	50	false.positive
#F6F4BF	0.0314589068029886	3	McGill0007	50	false.positive
#F6F4BF	0.16515926071569	3	McGill0008	50	false.positive
#F6F4BF	0.00786472670074715	3	McGill0009	50	false.positive
#F6F4BF	0.0629178136059772	3	McGill0010	50	false.positive
#F6F4BF	0.0629178136059772	3	McGill0011	50	false.positive
#F6F4BF	4.24695241840346	4	McGill0004	50	false.positive
#F6F4BF	12.8195045222179	4	McGill0006	50	false.positive
#F6F4BF	0.251671254423909	4	McGill0007	50	false.positive
#F6F4BF	0.0707825403067244	4	McGill0008	50	false.positive
#F6F4BF	0.794337396775462	4	McGill0009	50	false.positive
#F6F4BF	4.27841132520645	4	McGill0010	50	false.positive
#F6F4BF	0.0471883602044829	4	McGill0011	50	false.positive
