y	x	label	showSelected1	showSelected2	showSelected3	group
1.05	0.55402508872413	5700/41282=13.8% false positive bases	83	McGill0002	McGill0015	49
1.05	0.55402508872413	5597/41282=13.6% false positive bases	83	McGill0002	McGill0016	50
1.05	0.55402508872413	3264/41282=7.9% false positive bases	87	McGill0001	McGill0012	41
1.05	0.55402508872413	2247/41282=5.4% false positive bases	87	McGill0001	McGill0013	42
1.05	0.55402508872413	2920/41282=7.1% false positive bases	87	McGill0001	McGill0014	43
1.05	0.55402508872413	2124/41282=5.1% false positive bases	87	McGill0001	McGill0015	44
1.05	0.55402508872413	2936/41282=7.1% false positive bases	87	McGill0001	McGill0016	45
1.05	0.55402508872413	5581/41282=13.5% false positive bases	87	McGill0002	McGill0012	46
1.05	0.55402508872413	3675/41282=8.9% false positive bases	87	McGill0002	McGill0013	47
1.05	0.55402508872413	5403/41282=13.1% false positive bases	87	McGill0002	McGill0014	48
1.05	0.55402508872413	5364/41282=13.0% false positive bases	87	McGill0002	McGill0015	49
1.05	0.55402508872413	5112/41282=12.4% false positive bases	87	McGill0002	McGill0016	50
1.05	0.55402508872413	3270/41282=7.9% false positive bases	91	McGill0001	McGill0012	41
1.05	0.55402508872413	2229/41282=5.4% false positive bases	91	McGill0001	McGill0013	42
1.05	0.55402508872413	2864/41282=6.9% false positive bases	91	McGill0001	McGill0014	43
1.05	0.55402508872413	2063/41282=5.0% false positive bases	91	McGill0001	McGill0015	44
1.05	0.55402508872413	2910/41282=7.0% false positive bases	91	McGill0001	McGill0016	45
1.05	0.55402508872413	5062/41282=12.3% false positive bases	91	McGill0002	McGill0012	46
1.05	0.55402508872413	3533/41282=8.6% false positive bases	91	McGill0002	McGill0013	47
1.05	0.55402508872413	5072/41282=12.3% false positive bases	91	McGill0002	McGill0014	48
1.05	0.55402508872413	5148/41282=12.5% false positive bases	91	McGill0002	McGill0015	49
1.05	0.55402508872413	4749/41282=11.5% false positive bases	91	McGill0002	McGill0016	50
1.05	0.55402508872413	3309/41282=8.0% false positive bases	95	McGill0001	McGill0012	41
1.05	0.55402508872413	2225/41282=5.4% false positive bases	95	McGill0001	McGill0013	42
1.05	0.55402508872413	2760/41282=6.7% false positive bases	95	McGill0001	McGill0014	43
1.05	0.55402508872413	2008/41282=4.9% false positive bases	95	McGill0001	McGill0015	44
1.05	0.55402508872413	2893/41282=7.0% false positive bases	95	McGill0001	McGill0016	45
